id	queueId	annotCellTreatment	annotCellLine	annotCellType	annotAnatomy	harvestSite	sourceSpecies	annotSpecies	annotDisease	annotDevStage	annotSex	note
1924685	4	0			performance	0	Homo Sapiens		0	0	0	
1924684	4	0			performance	0	Homo Sapiens		0	0	0	
1924683	4	0			performance	0	Homo Sapiens		0	0	0	
1924682	4	0			performance	0	Homo Sapiens		0	0	0	
1893951	4	0			performance	0	Homo Sapiens		0	0	0	
1893950	4	0			performance	0	Homo Sapiens		0	0	0	
1893949	4	0			performance	0	Homo Sapiens		0	0	0	
1893947	4	0			performance	0	Homo Sapiens		0	0	0	
1893946	4	0			performance	0	Homo Sapiens		0	0	0	
1889076	4	0			performance	0	Homo Sapiens		0	0	0	
1889075	4	0			performance	0	Homo Sapiens		0	0	0	
1889074	4	0			performance	0	Homo Sapiens		0	0	0	
1889073	4	0			performance	0	Homo Sapiens		0	0	0	
1889072	4	0			performance	0	Homo Sapiens		0	0	0	
1092416	4	0			performance	0	Homo Sapiens		0	0	0	
1092415	4	0			performance	0	Homo Sapiens		0	0	0	
1092414	4	0			performance	0	Homo Sapiens		0	0	0	
1092413	4	0			performance	0	Homo Sapiens		0	0	0	
1092412	4	0			performance	0	Homo Sapiens		0	0	0	
1092411	4	0			performance	0	Homo Sapiens		0	0	0	
3160314	4	0			performance	0	Homo Sapiens		0	0	0	
3160313	4	0			performance	0	Homo Sapiens		0	0	0	
3160310	4	0			performance	0	Homo Sapiens		0	0	0	
3160305	4	0			performance	0	Homo Sapiens		0	0	0	
3160304	4	0			performance	0	Homo Sapiens		0	0	0	
3160312	4	0			performance	0	Homo Sapiens		0	0	0	
809675	4	0			performance	0	Homo Sapiens		0	0	0	
3160308	4	0			performance	0	Homo Sapiens		0	0	0	
4252049	4	0			performance	0	Homo Sapiens		0	0	0	
4252048	4	0			performance	0	Homo Sapiens		0	0	0	
4252047	4	0			performance	0	Homo Sapiens		0	0	0	
4252046	4	0			performance	0	Homo Sapiens		0	0	0	
4252045	4	0			performance	0	Homo Sapiens		0	0	0	
4252044	4	0			performance	0	Homo Sapiens		0	0	0	
2782109	4	0			performance	0	Homo Sapiens		0	0	0	
3380860	4	0			performance	0	Homo Sapiens		0	0	0	
3380859	4	0			performance	0	Homo Sapiens		0	0	0	
3201292	4	0			performance	0	Homo Sapiens		0	0	0	
2643543	4	0			performance	0	Homo Sapiens		0	0	0	
2643542	4	0			performance	0	Homo Sapiens		0	0	0	
2643541	4	0			performance	0	Homo Sapiens		0	0	0	
4040932	4	0			performance	0	Homo Sapiens		0	0	0	
4040931	4	0			performance	0	Homo Sapiens		0	0	0	
858116	4	0			performance	0	Homo Sapiens		0	0	0	
858114	4	0			performance	0	Homo Sapiens		0	0	0	
4127599	4	0			performance	0	Homo Sapiens		0	0	0	
4127598	4	0			performance	0	Homo Sapiens		0	0	0	
4127597	4	0			performance	0	Homo Sapiens		0	0	0	
4127596	4	0			performance	0	Homo Sapiens		0	0	0	
4127595	4	0			performance	0	Homo Sapiens		0	0	0	
4127594	4	0			performance	0	Homo Sapiens		0	0	0	
4127593	4	0			performance	0	Homo Sapiens		0	0	0	
4127592	4	0			performance	0	Homo Sapiens		0	0	0	
620774	4	0			performance	0	Homo Sapiens		0	0	0	
4127591	4	0			performance	0	Homo Sapiens		0	0	0	
4127590	4	0			performance	0	Homo Sapiens		0	0	0	
3218478	4	0			performance	0	Homo Sapiens		0	0	0	
3218472	4	0			performance	0	Homo Sapiens		0	0	0	
3218466	4	0			performance	0	Homo Sapiens		0	0	0	
3218465	4	0			performance	0	Homo Sapiens		0	0	0	
3218464	4	0			performance	0	Homo Sapiens		0	0	0	
3218463	4	0			performance	0	Homo Sapiens		0	0	0	
3218461	4	0			performance	0	Homo Sapiens		0	0	0	
3218460	4	0			performance	0	Homo Sapiens		0	0	0	
3100050	4	0			performance	0	Homo Sapiens		0	0	0	
3100049	4	0			performance	0	Homo Sapiens		0	0	0	
3100048	4	0			performance	0	Homo Sapiens		0	0	0	
3100047	4	0			performance	0	Homo Sapiens		0	0	0	
2435020	4	0			performance	0	Homo Sapiens		0	0	0	
2435019	4	0			performance	0	Homo Sapiens		0	0	0	
2435018	4	0			performance	0	Homo Sapiens		0	0	0	
2435017	4	0			performance	0	Homo Sapiens		0	0	0	
2435012	4	0			performance	0	Homo Sapiens		0	0	0	
2435011	4	0			performance	0	Homo Sapiens		0	0	0	
2435009	4	0			performance	0	Homo Sapiens		0	0	0	
2664656	4	0			performance	0	Homo Sapiens		0	0	0	
2664655	4	0			performance	0	Homo Sapiens		0	0	0	
2664654	4	0			performance	0	Homo Sapiens		0	0	0	
2358641	4	0			performance	0	Homo Sapiens		0	0	0	
2261001	4	0			performance	0	Homo Sapiens		0	0	0	
4040934	4	0			performance	0	Homo Sapiens		0	0	0	
4040928	4	0			performance	0	Homo Sapiens		0	0	0	
4040926	4	0			performance	0	Homo Sapiens		0	0	0	
4040933	4	0			performance	0	Homo Sapiens		0	0	0	
4040927	4	0			performance	0	Homo Sapiens		0	0	0	
4040925	4	0			performance	0	Homo Sapiens		0	0	0	
4040924	4	0			performance	0	Homo Sapiens		0	0	0	
4040923	4	0			performance	0	Homo Sapiens		0	0	0	
1120127	4	0			performance	0	Homo Sapiens		0	0	0	
2384650	4	0			performance	0	Homo Sapiens		0	0	0	
3104824	4	0			performance	0	Homo Sapiens		0	0	0	
3104823	4	0			performance	0	Homo Sapiens		0	0	0	
714438	4	0			performance	0	Homo Sapiens		0	0	0	
714437	4	0			performance	0	Homo Sapiens		0	0	0	
714436	4	0			performance	0	Homo Sapiens		0	0	0	
714435	4	0			performance	0	Homo Sapiens		0	0	0	
990729	4	0			performance	0	Homo Sapiens		0	0	0	
862541	4	0			performance	0	Homo Sapiens		0	0	0	
862540	4	0			performance	0	Homo Sapiens		0	0	0	
858130	4	0			performance	0	Homo Sapiens		0	0	0	
858129	4	0			performance	0	Homo Sapiens		0	0	0	
858128	4	0			performance	0	Homo Sapiens		0	0	0	
858127	4	0			performance	0	Homo Sapiens		0	0	0	
858126	4	0			performance	0	Homo Sapiens		0	0	0	
858125	4	0			performance	0	Homo Sapiens		0	0	0	
858124	4	0			performance	0	Homo Sapiens		0	0	0	
858123	4	0			performance	0	Homo Sapiens		0	0	0	
858122	4	0			performance	0	Homo Sapiens		0	0	0	
858121	4	0			performance	0	Homo Sapiens		0	0	0	
858120	4	0			performance	0	Homo Sapiens		0	0	0	
858119	4	0			performance	0	Homo Sapiens		0	0	0	
858118	4	0			performance	0	Homo Sapiens		0	0	0	
858117	4	0			performance	0	Homo Sapiens		0	0	0	
858115	4	0			performance	0	Homo Sapiens		0	0	0	
858113	4	0			performance	0	Homo Sapiens		0	0	0	
849557	4	0			performance	0	Homo Sapiens		0	0	0	
849556	4	0			performance	0	Homo Sapiens		0	0	0	
849555	4	0			performance	0	Homo Sapiens		0	0	0	
849554	4	0			performance	0	Homo Sapiens		0	0	0	
620784	4	0			performance	0	Homo Sapiens		0	0	0	
620783	4	0			performance	0	Homo Sapiens		0	0	0	
620782	4	0			performance	0	Homo Sapiens		0	0	0	
620781	4	0			performance	0	Homo Sapiens		0	0	0	
620780	4	0			performance	0	Homo Sapiens		0	0	0	
620779	4	0			performance	0	Homo Sapiens		0	0	0	
620778	4	0			performance	0	Homo Sapiens		0	0	0	
620777	4	0			performance	0	Homo Sapiens		0	0	0	
620775	4	0			performance	0	Homo Sapiens		0	0	0	
620773	4	0			performance	0	Homo Sapiens		0	0	0	
620772	4	0			performance	0	Homo Sapiens		0	0	0	
4121941	4	0			performance	0	Homo Sapiens		0	0	0	
4040935	4	0			performance	0	Homo Sapiens		0	0	0	
4093818	4	0			performance	0	Homo Sapiens		0	0	0	
3383476	4	0			performance	0	Homo Sapiens		0	0	0	
3383475	4	0			performance	0	Homo Sapiens		0	0	0	
3383474	4	0			performance	0	Homo Sapiens		0	0	0	
3383473	4	0			performance	0	Homo Sapiens		0	0	0	
3383472	4	0			performance	0	Homo Sapiens		0	0	0	
3383471	4	0			performance	0	Homo Sapiens		0	0	0	
3383470	4	0			performance	0	Homo Sapiens		0	0	0	
3383469	4	0			performance	0	Homo Sapiens		0	0	0	
3383468	4	0			performance	0	Homo Sapiens		0	0	0	
3383467	4	0			performance	0	Homo Sapiens		0	0	0	
3218479	4	0			performance	0	Homo Sapiens		0	0	0	
3218471	4	0			performance	0	Homo Sapiens		0	0	0	
3218458	4	0			performance	0	Homo Sapiens		0	0	0	
3218451	4	0			performance	0	Homo Sapiens		0	0	0	
3019817	4	0			performance	0	Homo Sapiens		0	0	0	
3201299	4	0			performance	0	Homo Sapiens		0	0	0	
3201298	4	0			performance	0	Homo Sapiens		0	0	0	
3201297	4	0			performance	0	Homo Sapiens		0	0	0	
3201296	4	0			performance	0	Homo Sapiens		0	0	0	
3201295	4	0			performance	0	Homo Sapiens		0	0	0	
2664683	4	0			performance	0	Homo Sapiens		0	0	0	
2664681	4	0			performance	0	Homo Sapiens		0	0	0	
2435016	4	0			performance	0	Homo Sapiens		0	0	0	
2435015	4	0			performance	0	Homo Sapiens		0	0	0	
2435013	4	0			performance	0	Homo Sapiens		0	0	0	
2435010	4	0			performance	0	Homo Sapiens		0	0	0	
2630537	4	0			performance	0	Homo Sapiens		0	0	0	
2630536	4	0			performance	0	Homo Sapiens		0	0	0	
2630535	4	0			performance	0	Homo Sapiens		0	0	0	
2630534	4	0			performance	0	Homo Sapiens		0	0	0	
2413338	4	0			performance	0	Homo Sapiens		0	0	0	
2413337	4	0			performance	0	Homo Sapiens		0	0	0	
2413336	4	0			performance	0	Homo Sapiens		0	0	0	
2584018	4	0			performance	0	Homo Sapiens		0	0	0	
2183444	4	0			performance	0	Homo Sapiens		0	0	0	
2183443	4	0			performance	0	Homo Sapiens		0	0	0	
2358642	4	0			performance	0	Homo Sapiens		0	0	0	
2358640	4	0			performance	0	Homo Sapiens		0	0	0	
2358639	4	0			performance	0	Homo Sapiens		0	0	0	
2358638	4	0			performance	0	Homo Sapiens		0	0	0	
2358637	4	0			performance	0	Homo Sapiens		0	0	0	
2356477	4	0			performance	0	Homo Sapiens		0	0	0	
1120125	4	0			performance	0	Homo Sapiens		0	0	0	
1120124	4	0			performance	0	Homo Sapiens		0	0	0	
1120123	4	0			performance	0	Homo Sapiens		0	0	0	
1120122	4	0			performance	0	Homo Sapiens		0	0	0	
1096652	4	0			performance	0	Homo Sapiens		0	0	0	
